match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
11699189,1,7,,llIbsPkJb,1,3,1696170900,lanca-mansouri,FALSE
11699190,2,,9,aItskBkc,1,3,1696166700,zelnickova-kolb,FALSE
11699191,1,3,,wmEbsNnFd,1,3,1696158300,moreira-maristany-zuleta-de-reales,FALSE
11699192,2,,16,ieBbsixid,2,3,1696150800,giannini-portillo-ramirez,FALSE
11699193,1,,12,UTBsRdeb,2,3,1696161600,rame-kolb,FALSE
11699194,1,1,,MadcsQJpd,1,3,1696150800,gupta-amariei,FALSE
11699195,1,WC,10,geqcsFtXd,2,3,1696156800,santos-oliveira-jorge,FALSE
11699196,2,,11,FkobsXBbc,2,3,1696167000,franco-dias-seibold,FALSE
11699197,2,6,,IZwsXuDb,1,3,1696173600,kucmova-morderger,FALSE
11699198,2,4,,HyAsxlcd,1,3,1696161600,garcia-lazaro-garcia,FALSE
11699199,1,2,,RDDbsaBuc,1,3,1696156500,garkusha-kanev,FALSE
11699200,1,,14,NoAsLnHc,1,3,1696174200,costa-araujo-morderger,FALSE
11699221,,5,,vbvbsPGOc,2,3,1696157100,mikrut-fonio,FALSE
11699222,,WC,11,xNDbsRYpc,2,3,1696158000,araujo-sanchez-jover,FALSE
11699223,,,,VfFbsqFqd,2,3,1696147200,holder-thalheimer,FALSE
11699224,,,8,dyRsMjV,2,3,1696167600,handel-dalla-valle,FALSE
11699225,,,,YuhdsXftd,1,3,1696147200,soares-liokossis,FALSE
11699226,,6,WC,tPgscxu,1,3,1696170900,falcao-laaksonen,FALSE
11699227,,1,WC,fvDbspcTb,1,3,1696163100,krutykh-coelho,FALSE
11699228,,A,7,PhfbsvLLc,2,3,1696163100,rocha-vale,FALSE
11699229,,,,yZCcszYId,1,3,1696156200,samet-almeida-junior,FALSE
11699230,,,10,POOcsDQjd,2,3,1696154400,cardinaud-nad,FALSE
11699231,,3,,AoIbslcYb,1,3,1696150800,thomson-squire,FALSE
11699232,,,,PbadsTwvd,2,3,1696147200,di-pietro-ajimi,FALSE
11699233,,,14,UmGcseypd,1,3,1696147200,elyasi-morolli,FALSE
11699234,,,12,hyJcsiKpd,2,3,1696147200,lock-munoz,FALSE
